no,SKU,Nama,harga beli,harga jual,Satuan,kategori,brand,ukuran,warna,expired,lokasi,stokmin,sisa,terbeli,terjual,barcode,keterangan
1,,Takashimura,,80000,roll,Bubble Wrap,SIP,,,,,,28,,,,
2,,SIP Super Eco Bening,,80000,roll,Bubble Wrap,SIP,,,,,,50,,,,
3,,SIP Eco Hitam,,85000,roll,Bubble Wrap,SIP,,,,,,10,,,,
4,,"SIP 2,7 Bening",,95000,roll,Bubble Wrap,SIP,,,,,,13,,,,
5,,"SIP 2,7 Hitam",,95000,roll,Bubble Wrap,SIP,,,,,,5,,,,
6,,"SIP 3,0 Bening",,110000,roll,Bubble Wrap,SIP,,,,,,32,,,,
7,,"SIP 3,0 Hitam",,110000,roll,Bubble Wrap,SIP,,,,,,61,,,,
8,,"SIP 3,3 Bening",,117000,roll,Bubble Wrap,SIP,,,,,,32,,,,
9,,"GMP 2,1 Bening",65000,,roll,Bubble Wrap,GMP,,,,,,,,,,
10,,"GMP 2,1 Hitam",65000,,roll,Bubble Wrap,GMP,,,,,,,,,,
11,,"GMP 2,6 Bening",77500,,roll,Bubble Wrap,GMP,,,,,,,,,,
12,,"GMP 2,6 Hitam",78500,,roll,Bubble Wrap,GMP,,,,,,,,,,
13,,"GMP 3,0 Bening",86500,,roll,Bubble Wrap,GMP,,,,,,,,,,
14,,"GMP 3,0 Hitam",87500,,roll,Bubble Wrap,GMP,,,,,,,,,,
15,,"GMP 3,3 Bening",93500,,roll,Bubble Wrap,GMP,,,,,,,,,,
16,,"GMP 3,3 Hitam",94500,,roll,Bubble Wrap,GMP,,,,,,,,,,
17,,Wrapping 100m,,,Karton,Wrapping,NAWA,,,,,,50,,,,
18,,Wrapping 125m,180000,,Karton,Wrapping,NAWA,,,,,,115,,,,
19,,Wrapping 150m,210000,47000,Karton,Wrapping,NAWA,,,,,,398,,,,
20,,Wrapping 170m,,,Karton,Wrapping,NAWA,,,,,,,,,,
21,,Wrapping 200m,,,Karton,Wrapping,NAWA,,,,,,59,,,,
22,,Wrapping 250m,324000,408000,Karton,Wrapping,NAWA,,,,,,32,,,,
23,,Wrapping 300m,462000,588000,Karton,Wrapping,NAWA,,,,,,1,,,,
24,,Wrapping Hitam,55000,330000,Karton,Wrapping,,,,,,,6,,,,
25,,Wrapping Delko,240000,348000,Karton,Wrapping,DELKO,,,,,,102,,,,
26,,Karton Roll 10Kg,,120000,roll,Karung,,,,,,,66,,,,
27,,Karton Roll 15Kg,,180000,roll,Karung,,,,,,,11,,,,
28,,Karton Roll 20Kg,,240000,roll,Karung,,,,,,,8,,,,
29,,Karung 50 x70,,,pcs,Karung,,,,,,,,,,,
30,,Karung 60 x 90,,,pcs,Karung,,,,,,,,,,,
31,,Karung 75 x 115,,,pcs,Karung,,,,,,,,,,,
